encuesta,encuestador,sexo,edad,entidad,facultad,turno,tipo_transporte,gasto_transporte,gasto_comida,presupuesto_semana,tiempo_transporte,actividad_transporte,cercania_transporte,numero_transporte,promedio,actividad_extra,tiempo_descanso,ausencia_recursos,fuente_ingresos,frecuencia_retardos,apoyo_transporte,impacto_transporte
1959,46,2,27,11,9,1,3,4,1,1,3,4,1,1,3,2,2,2,1,4,2,2
1960,7,2,20,7,3,3,1,4,2,4,3,2,2,2,2,2,4,2,1,4,1,1
1961,13,2,23,4,5,2,3,3,5,4,2,4,1,1,3,2,4,2,1,1,1,2
1962,24,1,25,3,3,2,1,4,1,1,2,3,1,3,2,2,4,1,2,4,1,1
1963,21,1,21,11,3,3,3,4,4,4,3,1,1,3,3,1,4,2,1,2,2,2
1964,43,2,20,3,11,3,2,3,3,1,3,2,2,4,2,1,4,2,1,2,2,2
1965,43,2,19,10,11,1,1,4,3,4,2,3,1,4,1,1,4,2,3,4,1,1
1966,43,1,24,12,11,1,2,1,5,2,4,4,2,2,3,1,3,2,1,4,4,2
1967,43,1,19,10,11,1,1,4,4,4,3,4,2,4,3,1,4,2,1,3,1,1
1968,43,2,19,4,11,3,1,4,1,4,4,4,2,3,4,2,1,2,1,4,1,2
1969,43,2,21,9,11,1,3,1,4,2,3,1,2,4,3,1,4,2,1,4,1,1
1970,43,1,22,15,11,3,3,1,1,4,2,1,3,1,1,1,4,2,2,4,1,1
1971,43,1,23,15,11,2,4,2,1,4,3,1,2,2,2,1,4,2,1,4,1,1
1972,43,1,22,16,10,2,3,3,4,2,4,1,2,2,1,1,4,2,2,1,1,2
1973,43,2,20,1,10,1,3,2,3,4,2,3,2,1,3,1,1,2,1,4,1,1
1974,43,2,19,7,10,2,2,4,5,4,3,1,2,4,1,1,4,2,1,2,1,1
1975,43,1,23,4,10,1,2,1,3,2,3,1,1,2,2,2,3,2,2,3,1,1
1976,43,2,20,7,10,1,2,2,3,2,3,4,1,1,4,1,4,2,2,1,1,2
1977,43,1,22,2,10,1,2,3,4,2,3,4,1,2,1,2,3,2,1,3,1,2
1978,43,1,35,4,10,2,2,1,5,4,4,1,2,1,3,2,4,2,3,1,1,2
1979,43,2,23,3,10,3,1,4,1,4,3,4,2,3,1,2,3,2,2,2,1,1
1980,43,2,21,5,10,2,2,1,4,4,5,2,1,2,2,2,4,2,1,2,1,1
1981,21,2,22,11,3,1,3,4,4,4,2,4,1,2,3,1,3,2,1,2,1,1
1982,21,2,19,11,3,1,3,4,1,4,2,2,1,1,2,2,2,2,1,4,1,2
1983,21,1,19,1,3,1,4,4,5,4,3,1,1,3,2,1,1,2,2,2,1,2
1984,21,1,20,8,3,1,1,4,2,2,3,2,1,2,3,2,4,2,1,1,1,2
1985,21,1,19,1,3,3,2,4,5,4,1,1,1,1,2,2,4,2,1,1,1,2
1986,21,1,20,10,3,1,1,2,3,4,3,3,1,2,4,1,4,1,1,4,2,1
1987,13,2,23,10,2,1,4,3,5,4,3,1,1,1,4,1,4,2,2,1,1,2
1988,21,1,22,4,3,3,2,4,2,2,1,1,1,2,4,2,2,2,1,1,1,2
1989,13,1,25,15,5,3,3,2,4,2,4,2,3,3,3,1,4,2,1,1,1,2
1990,13,1,24,14,6,2,1,3,5,4,5,1,4,4,4,1,4,2,3,4,1,2
1991,21,2,19,7,2,1,1,2,3,2,3,1,1,2,2,2,2,2,1,4,1,2
1992,10,2,18,7,2,1,3,4,5,4,4,1,2,1,3,1,3,2,1,4,1,2
1993,21,2,18,1,2,1,4,3,4,4,1,1,1,1,4,1,2,2,1,1,1,2
1994,10,2,19,7,2,1,4,4,2,4,3,1,1,1,4,2,1,2,2,1,1,1
1995,21,2,21,15,2,1,2,4,3,4,1,1,1,1,3,1,4,2,1,4,1,1
1996,10,1,19,1,2,2,3,4,2,4,1,1,1,1,4,1,4,2,1,4,1,2
1997,10,2,18,10,2,1,4,4,1,2,3,1,1,1,4,1,3,2,1,4,1,1
1998,21,1,20,17,2,1,4,3,1,4,2,1,1,1,3,1,4,2,1,3,4,1
1999,10,1,21,17,2,2,4,3,2,4,3,1,1,1,2,1,2,2,2,1,1,2
2000,21,2,21,5,2,3,4,3,3,4,4,3,1,1,4,1,2,2,1,2,1,1
2001,10,1,22,7,2,3,1,1,1,4,4,2,3,2,3,2,2,2,1,4,2,2
2002,21,1,23,3,2,2,1,4,4,4,4,2,2,1,3,1,3,2,2,1,1,2
2003,10,2,19,7,2,3,3,1,1,4,4,2,1,2,3,2,3,2,1,2,2,1
2004,21,1,19,11,2,1,4,2,4,4,2,1,1,1,4,2,3,2,2,2,1,1
2005,10,1,27,7,2,3,3,4,1,1,5,1,1,3,2,2,2,1,2,4,1,1
2006,21,2,20,15,2,1,2,2,3,4,3,1,2,2,4,1,4,2,2,2,1,2
2007,21,2,20,7,2,2,1,4,1,2,3,2,1,1,3,2,2,2,1,4,2,1
2008,21,1,23,17,2,2,3,3,5,4,4,3,1,4,4,1,4,2,1,3,4,1
2009,21,1,19,16,6,1,1,4,4,4,4,1,1,1,3,1,4,2,1,1,1,1
2010,10,2,22,10,6,3,3,4,1,2,4,4,2,1,4,1,2,2,1,4,4,1
2011,10,1,18,16,6,1,1,4,2,2,4,4,1,1,3,2,3,2,1,4,1,1
2012,21,1,20,7,6,3,1,1,5,4,3,4,2,2,3,2,1,2,1,4,3,1
2013,10,1,25,10,6,1,1,4,2,2,4,1,1,1,3,1,4,1,1,4,4,1
2014,21,2,20,1,6,1,3,2,1,3,2,1,2,3,2,2,4,2,1,1,1,2
2015,21,1,22,14,5,2,1,1,2,2,5,1,4,4,3,2,3,1,1,3,1,1
2016,10,1,20,2,6,1,2,2,5,4,4,4,2,3,4,1,2,2,1,4,1,1
2017,21,2,21,9,6,1,2,4,1,4,2,2,1,2,4,1,4,1,1,1,2,2
2018,10,1,22,7,6,3,2,1,1,2,5,3,2,2,2,2,2,2,2,4,1,1
2019,21,1,19,4,5,1,2,4,3,4,1,1,1,1,4,1,3,2,1,1,2,2
2020,10,1,20,4,6,3,4,4,2,4,1,1,1,1,4,1,4,2,1,1,1,2
2021,21,1,20,15,5,3,3,4,2,2,2,4,1,2,4,2,2,2,1,4,1,1
2022,10,1,19,4,6,3,1,1,4,4,2,1,2,1,4,2,4,2,1,1,1,1
2023,21,1,20,7,5,1,1,1,1,2,4,1,1,3,3,1,3,2,1,4,2,1
2024,21,2,23,1,6,3,3,1,1,1,2,2,1,1,3,1,1,2,1,3,2,2
2025,10,1,22,3,6,3,3,3,3,4,3,2,1,2,3,1,3,2,2,4,1,1
2026,10,2,20,15,6,1,2,2,2,4,3,4,1,1,4,2,3,2,2,4,4,2
2027,21,2,20,15,6,3,2,1,3,4,4,1,1,1,3,2,2,2,2,4,1,1
2028,10,2,21,8,6,3,1,2,2,2,4,4,2,3,4,2,3,2,1,4,1,1
2029,10,1,24,4,1,1,3,4,5,4,1,1,1,1,3,1,4,1,1,1,1,2
2030,21,1,19,3,1,1,2,4,2,2,2,4,1,2,3,1,3,2,1,1,1,2
2031,10,2,19,3,1,1,1,4,2,4,3,1,2,1,3,2,3,2,1,4,1,1
2032,21,1,28,1,1,3,2,4,2,4,2,1,1,4,3,1,4,2,2,2,1,1
2033,10,2,27,8,1,2,1,4,1,1,3,2,1,1,4,1,4,2,2,1,1,2
2034,21,1,22,4,1,1,3,1,4,4,3,1,1,2,2,2,3,1,2,3,1,1
2035,10,1,23,4,1,1,1,4,5,4,1,1,1,1,3,2,3,2,1,1,1,2
2036,21,2,23,8,1,1,1,4,4,4,3,4,1,2,2,2,4,2,1,4,1,1
2037,10,2,27,10,1,3,1,1,5,4,3,1,1,3,3,1,2,1,1,4,2,1
2038,21,2,23,10,1,2,1,1,3,2,4,1,1,1,4,1,3,2,1,1,1,2
2039,10,1,22,4,1,1,3,4,5,4,1,1,1,2,2,1,1,2,1,4,1,1
2040,21,2,22,5,1,1,1,4,2,4,2,1,1,2,3,2,3,2,1,1,1,1
2041,10,2,23,10,1,1,1,4,1,4,3,1,2,3,4,1,3,2,1,3,1,1
2042,21,2,21,7,1,1,3,1,3,2,4,4,1,4,3,2,3,2,1,3,1,1
2043,10,1,24,7,1,1,1,4,1,2,4,2,1,2,3,1,3,2,1,4,2,1
2044,21,1,29,4,1,2,3,4,4,4,1,1,1,1,3,2,3,2,2,2,1,1
2045,10,1,23,7,1,1,1,4,1,4,3,4,3,2,3,2,4,2,2,2,1,1
2046,10,1,20,15,3,3,3,4,2,4,4,2,1,1,3,2,3,2,1,2,1,1
2047,10,1,20,8,3,3,1,1,1,4,5,4,2,2,4,1,2,2,1,4,1,1
2048,10,2,21,11,3,2,2,4,3,4,3,3,1,1,3,1,3,2,1,3,1,1
2049,10,1,22,5,3,1,1,4,3,2,4,2,3,2,3,2,3,2,2,2,1,2
2050,10,1,21,10,3,1,1,4,1,2,4,3,2,2,4,2,2,2,1,1,1,2
2051,10,1,20,4,3,1,1,4,1,4,2,4,1,1,4,1,3,2,1,2,1,2
2052,10,1,19,8,3,1,1,1,1,2,4,2,1,2,3,1,1,2,1,4,1,2
2053,38,1,21,7,7,2,3,1,3,2,4,1,1,3,3,2,3,2,1,3,1,2
2054,38,2,20,7,7,3,3,2,3,2,4,4,2,3,2,2,4,2,2,2,1,2
2055,38,1,21,14,7,1,1,1,2,2,3,3,1,1,3,1,4,2,1,1,1,2
2056,26,1,20,11,11,3,3,4,5,4,2,2,1,2,3,1,1,2,1,1,2,2
2057,14,2,22,5,4,3,1,1,1,2,4,2,1,2,3,2,4,2,1,1,1,1
2058,38,1,19,15,7,2,2,1,2,2,3,1,1,2,3,2,4,2,2,2,1,1
2059,35,2,21,10,10,1,2,4,2,2,2,4,1,3,2,2,3,2,2,4,4,2
