encuesta,encuestador,sexo,edad,entidad,facultad,turno,tipo_transporte,gasto_transporte,gasto_comida,presupuesto_semana,tiempo_transporte,actividad_transporte,cercania_transporte,numero_transporte,promedio,actividad_extra,tiempo_descanso,ausencia_recursos,fuente_ingresos,frecuencia_retardos,apoyo_transporte,impacto_transporte
84,13,2,23,7,4,1,1,1,1,2,4,2,2,2,3,2,3,2,1,1,1,1
85,13,2,23,2,4,1,1,3,1,2,4,2,3,2,3,2,3,2,1,4,1,1
86,12,1,21,4,3,1,3,1,1,4,3,1,4,1,4,1,4,2,1,2,1,1
87,12,1,19,7,3,1,1,1,1,1,5,2,4,2,3,1,4,2,3,2,1,1
88,12,1,19,1,3,3,1,1,1,1,4,1,1,2,4,1,3,2,1,2,4,2
89,12,1,20,6,3,3,3,4,1,1,4,2,2,2,4,2,4,2,1,4,4,1
90,13,2,22,17,4,1,3,2,2,4,3,2,2,4,3,2,3,2,1,4,1,2
91,14,2,23,1,1,1,1,4,1,2,2,2,1,1,3,2,4,2,3,2,1,2
92,13,1,23,10,1,2,1,1,2,4,2,4,1,2,4,1,4,2,1,3,4,1
93,14,2,56,10,1,3,1,1,2,2,4,4,3,4,3,2,2,1,3,1,1,2
94,13,1,24,4,4,1,3,1,1,1,2,2,2,1,3,2,3,2,2,3,2,1
95,13,1,24,16,1,2,1,1,2,2,3,2,2,2,3,1,3,2,2,4,1,1
96,14,1,21,13,1,1,3,4,1,1,3,2,1,2,3,1,4,2,1,1,1,2
97,14,1,22,17,1,1,2,3,1,4,4,2,1,2,3,2,3,2,2,1,1,1
98,14,1,19,10,2,1,1,1,3,4,4,4,3,2,4,1,4,2,1,1,1,2
99,14,2,19,7,2,3,1,1,2,4,5,4,3,1,4,1,4,2,1,1,1,2
100,13,1,23,12,1,3,1,4,1,1,3,1,1,2,3,1,4,2,1,1,4,1
101,14,1,28,7,6,3,3,4,1,1,1,2,1,2,2,2,4,2,1,1,1,2
102,14,1,23,14,4,2,1,2,1,2,5,4,2,2,2,2,3,2,2,1,1,1
103,12,2,19,10,5,1,1,4,3,4,2,1,2,2,3,2,4,2,1,1,1,2
104,14,2,18,8,4,3,1,1,1,2,4,4,2,2,4,2,4,2,1,1,1,1
105,12,2,25,7,5,3,1,1,5,4,5,1,3,2,4,2,2,2,1,1,1,1
106,14,1,22,17,4,3,1,2,4,4,3,3,2,3,3,1,4,1,1,2,1,2
107,12,2,22,7,5,1,3,3,5,4,5,1,1,4,3,1,4,1,1,4,1,1
108,14,2,18,5,4,1,1,4,1,3,3,1,2,1,2,2,4,2,1,1,1,1
109,14,1,22,4,4,1,3,4,1,3,3,1,1,1,3,1,4,2,1,1,1,2
110,35,1,22,14,7,1,1,4,4,2,1,2,1,1,3,2,3,2,1,4,1,1
111,14,1,19,10,5,1,1,1,1,1,4,3,1,2,2,2,2,2,1,1,1,2
112,12,2,23,10,5,1,4,3,3,4,4,1,1,2,3,1,3,2,3,2,1,1
113,12,1,27,14,5,1,1,3,5,4,5,1,2,4,2,2,3,1,2,4,1,2
114,12,1,22,7,5,3,1,3,2,4,5,2,1,2,3,2,4,2,1,4,1,1
115,14,1,27,5,3,1,1,4,5,4,2,1,1,1,2,1,4,2,2,1,1,2
116,12,1,23,3,5,1,1,4,4,4,2,1,1,1,4,2,2,2,1,4,4,2
117,12,1,20,5,3,1,1,4,1,4,3,1,1,2,2,1,4,2,2,1,1,1
118,14,1,44,4,2,3,3,1,2,1,2,3,1,2,2,2,3,2,2,4,1,2
119,12,2,19,4,5,1,4,4,2,4,1,1,1,1,2,2,2,2,1,1,1,1
120,14,2,19,15,5,3,3,3,1,4,4,1,1,3,3,2,3,2,1,2,4,2
121,14,1,27,10,5,1,3,1,2,4,4,2,1,2,4,1,3,2,1,1,1,1
122,1,1,21,5,4,1,1,4,4,4,2,2,1,1,3,2,3,2,1,1,1,2
123,14,2,20,9,4,1,1,2,1,2,4,4,2,3,4,2,3,2,2,1,1,1
124,14,1,21,10,5,1,2,1,3,4,4,3,1,2,4,2,2,2,2,1,1,1
125,1,2,19,2,3,3,1,1,2,2,3,2,1,2,4,2,3,2,1,2,1,1
126,14,2,38,5,4,1,3,1,1,1,4,1,2,1,3,1,4,2,2,2,1,2
127,14,1,25,9,6,3,3,4,1,3,3,4,1,2,2,1,4,2,2,1,1,2
128,14,1,24,10,6,3,1,4,1,3,4,1,2,2,4,1,4,2,1,1,1,2
129,13,2,25,10,2,2,1,1,1,1,3,1,1,3,3,2,4,1,3,4,2,1
130,12,2,20,3,4,1,1,4,1,1,2,1,1,2,4,2,3,2,1,1,1,2
131,14,2,29,4,1,1,4,1,2,4,1,1,1,1,4,1,1,2,2,1,2,1
132,12,2,19,9,4,1,1,4,1,2,4,1,1,2,4,2,3,2,1,1,1,1
133,12,2,21,3,4,1,1,4,1,3,2,1,2,2,4,2,2,2,3,1,1,2
134,14,2,22,1,5,1,2,4,1,1,3,1,2,3,4,1,4,2,1,2,1,1
135,40,1,22,1,7,1,3,1,1,4,3,2,2,2,2,2,4,2,1,4,2,1
136,12,2,21,10,4,1,1,1,1,4,5,1,2,3,4,2,3,2,1,4,1,1
137,40,1,22,1,7,1,3,1,1,4,3,2,2,2,2,2,4,2,1,4,2,1
138,14,1,26,14,4,3,1,3,2,4,5,4,3,3,3,1,2,1,2,1,1,1
139,12,1,18,7,4,1,2,4,2,4,1,1,1,1,3,2,3,2,1,4,1,2
140,12,1,18,8,4,1,2,4,5,4,4,2,1,2,3,2,2,2,2,4,1,1
141,14,2,30,5,6,1,1,4,1,1,3,1,2,2,2,2,4,2,2,1,1,1
142,12,1,19,4,4,1,1,4,2,2,2,1,1,1,4,2,2,2,3,3,1,2
143,12,1,19,7,4,1,2,4,2,4,5,3,1,2,3,1,2,2,1,2,1,2
144,12,1,20,3,4,1,1,4,5,4,3,2,1,1,4,2,4,2,2,4,2,1
145,14,1,31,10,4,3,4,2,1,2,2,2,1,1,4,1,3,1,3,3,2,1
146,14,2,23,15,1,1,2,4,1,3,3,1,1,2,3,1,4,2,1,1,1,1
147,14,2,17,10,6,2,1,1,1,2,4,4,1,2,4,1,4,2,1,1,2,1
148,14,2,33,3,6,2,1,4,1,3,3,1,1,1,4,1,4,2,1,1,1,2
149,14,2,23,15,1,1,3,4,1,1,2,1,1,1,3,2,3,2,1,1,1,1
150,42,2,28,12,9,2,1,2,2,1,3,2,1,4,2,2,3,1,1,4,4,1
151,42,2,21,15,9,2,2,4,2,4,3,1,1,4,3,2,4,2,1,1,1,2
152,8,1,20,2,3,3,1,4,2,2,3,3,2,1,2,2,3,2,1,2,1,2
153,8,1,21,12,3,2,1,4,1,4,2,3,1,1,3,1,4,2,1,1,1,2
154,40,1,20,7,7,1,1,1,2,2,3,3,2,3,3,1,3,2,1,2,1,2
155,42,2,25,3,10,3,1,4,1,1,2,4,1,1,2,2,3,2,1,4,1,1
156,40,1,21,7,7,1,1,2,1,4,4,2,3,4,2,2,2,1,1,4,4,1
157,42,2,23,8,10,3,1,1,3,4,4,2,1,2,3,1,2,2,1,3,1,1
158,42,1,24,1,10,3,3,4,2,2,3,3,3,4,2,1,2,2,2,3,1,1
159,42,2,22,8,10,3,1,4,3,2,3,2,2,3,2,2,2,2,1,4,1,1
160,2,2,22,4,2,1,1,4,2,1,3,1,1,2,2,2,4,2,2,1,1,1
161,2,1,26,3,2,1,3,4,4,3,4,1,2,2,3,2,4,2,1,1,4,2
162,40,2,19,4,7,1,3,4,1,2,1,4,1,1,4,1,4,2,1,1,1,2
163,14,1,23,7,3,2,1,4,2,2,3,2,1,2,4,2,2,2,1,4,1,1
164,40,1,22,15,7,2,4,3,1,4,2,1,1,1,3,1,4,2,1,1,1,2
165,40,1,20,10,7,3,1,1,2,4,3,3,2,3,2,2,3,2,1,4,2,1
166,12,2,23,13,1,1,2,3,5,4,5,2,2,4,4,1,3,2,1,1,1,1
167,12,1,26,7,1,1,3,1,5,4,5,1,1,2,3,1,3,2,1,2,1,2
168,44,1,20,1,10,3,2,4,5,4,2,4,1,2,3,2,3,2,1,1,1,2
169,12,2,20,4,1,3,3,2,5,4,3,4,2,3,4,1,1,2,1,3,1,1
170,12,2,18,4,1,1,4,4,1,2,3,3,1,2,4,2,1,2,3,2,1,2
171,12,1,20,8,1,3,1,1,5,4,5,4,3,2,2,1,3,2,1,2,1,1
172,1,2,21,3,4,3,4,3,4,4,3,1,2,1,4,1,3,2,1,1,1,2
173,12,1,22,4,1,3,3,4,4,4,4,4,1,2,4,2,4,2,1,4,1,1
174,2,2,28,9,2,3,4,4,2,4,3,2,2,1,3,2,3,2,1,3,1,1
175,12,1,22,1,1,1,4,3,2,4,3,1,1,1,4,2,4,2,1,1,2,2
176,1,1,19,8,4,3,1,1,4,4,3,2,1,2,4,2,3,2,1,1,1,2
177,2,1,19,10,2,3,1,1,1,2,4,1,2,1,2,1,3,2,1,3,1,2
178,12,2,20,4,3,3,3,4,5,4,1,1,1,1,4,2,3,2,1,2,1,2
179,1,2,19,10,3,3,1,4,1,2,2,1,1,1,2,2,4,2,1,4,2,1
180,42,2,20,4,7,3,3,4,5,4,1,1,1,1,4,1,3,2,1,1,1,2
181,17,2,21,16,2,2,1,1,5,4,5,2,1,2,4,1,2,2,1,4,1,1
182,42,1,23,6,7,3,3,1,3,4,3,2,2,2,3,1,4,1,1,4,4,1
183,42,1,24,7,7,3,3,3,5,4,4,2,3,3,2,2,2,1,1,2,1,1
184,42,1,23,16,7,3,1,1,4,4,3,2,3,3,3,2,1,1,1,4,1,1
185,42,1,23,14,7,3,3,2,3,4,4,2,2,3,2,2,3,1,2,3,1,1
186,42,1,21,4,7,2,3,3,5,4,3,3,2,4,4,1,2,2,2,4,1,1
187,17,2,20,7,2,2,2,1,4,4,2,4,1,2,4,1,3,2,2,4,1,2
188,11,1,27,7,2,3,1,3,3,4,4,4,1,3,3,1,3,2,1,3,1,1
189,42,1,20,4,7,3,1,4,4,4,1,1,1,1,3,1,4,2,1,2,1,2
190,11,1,22,5,2,2,1,4,3,4,2,2,1,1,3,2,4,2,1,4,1,1
191,42,2,22,9,7,3,1,1,3,2,3,1,1,2,3,1,2,2,1,4,1,1
192,17,1,20,12,2,2,1,4,5,4,2,3,1,1,4,2,3,2,2,3,1,2
193,42,1,22,7,7,3,1,1,2,4,3,1,2,2,3,2,2,1,1,3,2,1
194,11,2,23,16,2,3,4,2,3,4,2,4,1,1,3,1,3,2,1,2,1,1
195,42,2,23,7,7,3,3,4,3,2,4,2,1,1,3,2,1,2,1,1,4,2
196,17,1,24,3,2,2,2,1,4,4,5,4,2,4,3,2,3,2,2,4,1,1
197,11,1,23,10,2,2,1,3,5,4,3,3,1,2,3,1,1,2,2,4,1,1
198,11,1,20,17,2,3,3,2,5,4,5,1,1,2,4,1,1,2,1,4,1,1
199,17,2,19,4,2,1,4,4,4,4,1,2,1,2,4,1,3,2,1,1,1,2
200,30,2,21,14,9,2,1,4,2,2,3,4,1,1,3,1,3,2,2,1,1,2
201,17,2,20,7,2,2,2,1,2,2,4,2,2,3,4,2,2,2,2,4,1,1
202,11,1,22,4,2,2,4,3,3,4,1,1,1,1,4,2,2,2,1,1,1,2
203,36,2,22,17,11,2,3,1,3,4,2,1,1,2,4,1,4,2,1,4,1,1
204,11,2,22,12,2,2,1,2,2,4,3,4,1,3,4,1,3,2,2,4,1,1
205,17,1,20,17,2,2,4,2,5,4,2,3,1,1,4,1,3,2,2,4,1,1
206,30,2,21,4,9,2,3,4,2,2,1,1,2,1,4,2,3,2,1,1,1,2
207,36,2,22,7,11,2,1,1,2,2,3,1,2,2,3,2,1,2,1,2,1,1
208,30,1,22,10,9,1,4,4,1,1,1,3,3,1,2,2,4,2,1,2,1,2
209,30,2,21,16,9,2,1,1,4,2,4,3,2,2,4,2,1,2,1,1,1,2
210,17,1,19,4,6,3,3,4,5,2,3,2,1,1,4,1,4,2,1,4,1,2
211,11,2,19,15,6,3,2,3,5,4,3,2,1,2,4,1,2,1,1,4,4,2
212,28,2,22,14,9,2,1,1,3,4,3,2,2,3,3,1,2,2,1,1,4,2
213,30,2,23,11,9,2,3,2,3,4,3,2,2,4,3,2,3,2,1,4,1,1
214,28,1,26,3,9,3,4,3,4,2,2,1,2,1,1,1,4,2,2,4,1,1
215,11,2,22,17,6,3,3,1,1,2,5,4,1,2,3,1,3,1,2,4,1,1
216,17,2,21,7,6,3,1,4,1,3,5,2,1,1,4,2,1,2,1,3,2,1
217,11,2,25,7,6,1,1,4,2,2,3,4,1,2,3,2,4,2,3,1,1,1
218,17,2,25,3,6,2,1,3,2,4,5,2,1,3,3,2,1,2,1,4,1,1
219,30,2,28,4,9,1,3,4,5,2,2,1,1,2,3,2,2,1,1,4,2,2
220,28,2,21,7,9,1,1,1,1,2,3,2,1,2,2,2,3,1,1,4,2,1
221,11,2,22,1,6,3,3,4,5,4,2,1,1,2,4,1,3,2,1,1,1,2
222,17,1,23,1,6,3,3,4,5,4,2,1,1,1,4,2,4,2,1,1,1,2
223,17,2,21,8,5,1,1,1,1,1,4,3,1,2,4,2,2,2,1,1,1,1
224,11,2,22,5,5,2,1,1,1,1,4,3,1,1,4,2,3,2,1,1,1,1
225,17,2,22,8,6,3,1,4,2,4,3,4,1,1,4,1,4,2,1,4,1,1
226,11,1,23,8,6,3,1,1,5,4,3,1,1,1,4,1,3,2,1,3,1,1
227,28,1,22,10,9,2,1,2,4,4,4,1,1,2,4,1,4,2,2,4,1,2
228,30,1,23,8,9,2,1,1,3,2,3,4,1,2,4,2,3,2,2,4,1,1
229,11,2,25,4,6,3,3,4,5,4,1,1,1,1,4,2,2,2,1,2,1,2
230,17,2,23,3,6,3,1,2,3,2,3,1,1,2,3,2,3,2,1,4,1,1
231,30,2,19,7,9,3,3,1,1,1,5,3,1,2,4,1,1,2,1,4,2,1
232,31,2,20,15,9,1,2,4,1,2,2,2,2,2,1,1,1,2,1,4,1,1
233,31,2,20,7,9,1,1,1,1,2,3,3,1,2,3,1,3,2,1,4,1,1
234,11,2,22,7,6,3,1,1,2,2,4,1,1,3,4,2,1,2,1,4,1,1
235,17,2,23,4,6,3,3,4,4,1,1,4,1,1,3,2,4,2,3,4,4,1
236,28,1,20,11,9,1,3,4,2,1,2,2,1,2,3,2,2,2,1,2,1,1
237,8,2,19,17,3,3,3,1,1,4,3,2,2,2,2,2,4,2,1,1,1,1
238,44,1,24,15,11,3,2,1,2,2,3,4,2,2,2,2,2,2,1,2,2,1
239,44,2,22,4,11,2,2,4,2,2,2,1,1,1,4,1,2,2,1,2,1,1
240,8,1,22,14,3,3,1,1,2,4,3,2,2,2,3,2,4,2,2,3,4,2
241,17,1,21,12,6,3,1,1,1,2,2,1,1,2,2,2,4,2,1,4,1,1
242,11,2,22,7,6,3,1,4,2,2,5,1,1,3,3,2,4,2,1,4,1,1
243,31,1,18,7,7,3,1,1,2,4,3,2,1,1,4,2,3,2,1,1,1,2
244,28,2,21,8,9,2,1,1,1,2,3,2,2,2,4,2,4,2,1,3,2,2
245,30,2,22,15,9,2,4,2,1,1,2,3,4,1,4,1,1,2,2,3,1,1
246,11,2,19,7,6,3,1,2,2,4,4,1,1,2,3,2,4,2,1,3,1,1
247,17,2,24,7,6,2,1,1,2,2,2,1,2,2,3,1,4,2,2,1,1,1
248,8,1,23,4,3,3,1,4,1,4,2,2,2,1,3,1,4,2,1,2,1,2
249,2,1,20,14,2,2,4,4,2,1,3,1,1,1,4,2,2,2,1,3,4,2
250,8,1,24,15,3,2,1,1,3,4,3,4,2,1,2,2,4,2,2,4,4,1
251,2,1,20,4,2,2,4,1,2,2,4,1,1,1,2,2,4,2,1,4,4,2
252,31,2,20,7,8,1,1,2,2,2,4,4,1,3,2,2,1,2,1,4,1,1
253,15,1,19,16,1,1,4,3,3,4,3,2,1,1,3,1,2,2,1,4,1,1
254,46,1,21,17,7,1,2,1,2,2,3,2,1,1,2,1,4,2,1,4,4,2
255,31,2,20,5,8,1,1,1,4,2,3,2,2,1,2,1,2,2,1,4,1,1
256,15,1,20,14,1,1,4,3,5,3,3,3,1,1,3,1,3,2,1,1,1,2
257,46,2,22,4,7,1,3,4,3,2,1,1,1,1,4,1,4,2,1,2,2,2
258,31,1,21,4,3,2,1,4,5,4,2,3,1,1,3,2,3,1,1,4,1,1
259,40,2,21,2,7,1,1,4,2,2,3,4,2,2,3,2,4,2,1,4,1,2
260,15,1,20,16,6,3,1,4,3,2,3,2,1,2,1,1,3,2,1,4,1,1
261,46,1,19,1,7,2,1,1,2,2,2,1,2,2,3,2,4,2,1,4,1,2
262,8,2,24,14,3,2,1,4,1,4,3,4,1,1,4,2,4,2,1,4,4,1
263,28,1,22,4,9,2,1,1,3,4,2,3,1,2,4,1,3,2,1,4,1,2
264,46,1,19,14,7,1,1,1,2,2,3,1,2,2,2,2,4,2,1,4,2,1
265,15,1,21,10,6,1,1,1,4,4,3,1,4,4,4,1,3,2,1,4,1,1
266,30,1,22,7,10,3,1,4,5,4,4,2,4,2,3,2,1,2,1,4,2,1
267,30,1,23,14,10,3,1,4,1,4,3,4,1,2,3,2,2,2,1,2,2,2
268,31,2,22,15,8,3,3,1,2,1,3,4,2,1,2,2,2,1,2,4,1,1
269,40,2,19,4,11,1,3,4,2,4,2,1,1,1,4,1,4,2,1,1,2,1
270,30,2,23,10,10,3,1,1,1,1,2,4,2,2,3,1,3,2,1,4,1,1
271,30,2,22,11,10,3,4,2,3,2,1,1,1,1,2,2,1,2,1,1,1,2
272,46,2,19,14,7,1,2,1,4,2,3,4,2,2,3,2,3,2,1,4,3,2
273,15,1,19,10,2,1,4,3,2,2,2,2,1,2,3,1,4,2,1,4,1,1
274,28,2,21,4,8,1,1,1,3,2,3,2,2,3,3,2,2,2,1,2,1,1
275,28,2,22,11,8,2,3,4,2,4,2,3,1,1,3,2,3,2,1,2,1,1
276,46,1,23,1,7,2,1,1,3,2,3,1,2,2,4,2,4,2,1,4,3,2
277,28,1,23,8,10,3,1,1,2,4,4,4,1,2,2,1,1,2,1,4,1,1
278,41,2,18,14,7,1,1,1,1,2,4,2,3,2,3,2,2,2,1,4,1,1
279,40,1,20,9,11,2,1,1,2,2,3,3,2,2,3,1,3,2,1,2,2,2
280,28,2,19,10,8,1,1,4,2,1,3,4,1,1,3,1,2,2,1,4,1,1
281,30,1,21,10,8,1,1,1,4,4,4,3,1,4,4,1,4,2,1,4,1,1
282,30,1,26,2,8,1,1,4,2,2,3,3,1,2,4,1,1,2,1,4,1,1
283,30,1,24,8,8,1,1,2,4,1,3,1,1,1,4,1,2,2,1,3,1,2
284,30,1,22,16,8,1,1,4,5,4,3,2,2,1,3,1,1,2,1,4,1,1
285,28,2,24,2,8,1,1,4,5,1,3,2,1,1,3,2,2,2,1,3,2,1
286,40,2,21,7,11,2,3,2,2,4,4,2,2,3,2,2,3,2,1,4,4,1
287,19,1,20,12,3,2,1,4,3,2,2,1,1,1,3,1,3,2,1,1,4,1
288,15,2,23,10,2,3,4,3,3,2,4,2,2,2,3,1,3,2,1,1,1,1
289,28,1,21,4,11,3,1,4,5,3,4,1,1,1,2,1,3,2,2,4,1,1
290,30,2,19,15,8,2,2,1,4,4,4,3,1,2,4,1,3,2,1,1,1,2
291,31,2,22,10,10,3,4,2,2,1,3,3,3,1,3,2,2,2,1,2,1,2
292,31,1,23,17,10,3,3,1,4,2,3,2,2,1,1,1,1,2,1,2,1,1
293,28,1,22,9,7,3,1,4,3,2,4,2,1,3,3,1,3,1,1,4,1,1
294,12,2,20,7,3,3,1,2,5,4,5,2,2,2,4,1,2,2,1,3,1,1
295,41,1,21,13,4,1,1,3,5,2,5,2,1,4,3,1,2,1,2,4,1,1
296,30,1,21,17,7,3,3,2,3,4,3,1,1,2,2,2,4,2,2,4,1,1
297,31,2,27,15,8,3,4,3,5,4,4,1,2,1,3,2,4,2,2,4,1,2
298,41,2,18,14,9,1,1,1,1,4,4,2,1,3,2,1,2,1,1,4,4,1
299,30,2,22,17,7,3,3,2,2,4,3,3,1,4,3,2,3,2,1,4,1,1
300,40,1,19,6,11,1,3,1,1,4,3,1,1,2,3,2,4,2,1,4,2,1
301,28,1,20,8,8,1,1,1,3,2,4,3,1,4,4,1,2,2,1,4,1,1
302,12,2,19,7,3,3,1,1,5,4,5,4,2,2,4,2,2,2,1,2,1,1
303,28,1,24,4,8,1,3,4,4,4,1,1,1,2,3,1,3,2,1,4,2,1
304,41,1,21,13,8,1,3,3,4,2,5,2,1,4,3,2,2,1,2,4,1,1
305,31,2,21,4,8,1,1,4,2,2,2,1,2,1,4,1,3,2,1,3,4,1
306,30,1,21,7,8,2,1,4,2,4,3,3,3,3,2,1,2,2,1,2,1,1
307,28,1,19,7,8,1,1,2,2,2,3,1,1,2,4,1,2,2,3,4,3,2
308,31,2,18,7,10,3,1,2,2,3,4,4,4,2,1,2,3,2,1,2,1,1
309,28,1,23,11,7,2,3,4,1,1,4,1,1,1,3,1,4,2,1,3,2,1
310,28,1,20,1,7,1,2,4,1,4,2,1,2,2,3,1,4,2,1,2,1,2
311,30,2,21,12,8,1,1,4,5,1,3,2,1,2,4,2,1,2,1,4,1,1
312,41,2,18,1,8,2,4,4,2,2,1,2,2,1,3,2,1,2,1,1,1,2
313,30,2,20,16,8,1,1,1,4,4,4,1,1,4,3,2,3,2,1,3,1,1
314,47,1,22,15,9,1,1,1,1,4,4,2,2,4,4,2,4,2,1,2,1,1
315,41,1,20,14,8,1,1,1,2,2,4,3,2,3,3,2,2,2,2,3,1,1
316,40,2,20,9,11,1,1,1,1,2,3,3,2,2,3,2,3,2,1,4,2,2
317,47,1,23,7,9,1,1,2,1,1,4,2,1,2,3,2,3,2,1,4,1,1
318,30,1,20,10,10,3,1,1,1,2,3,2,2,4,2,2,3,2,2,4,1,1
319,30,2,19,8,10,3,1,4,1,1,3,2,1,1,3,2,1,2,1,4,1,2
320,31,1,18,3,10,3,1,1,1,2,4,3,1,2,2,2,3,2,1,3,1,1
321,28,1,20,4,10,1,3,1,3,4,2,1,1,1,2,2,2,2,1,4,1,2
322,40,1,22,7,11,2,1,2,1,2,4,2,3,4,2,2,2,1,2,4,2,1
323,47,2,25,17,9,1,4,1,3,4,2,3,1,1,2,2,4,2,1,4,1,2
324,31,1,23,8,8,2,2,4,1,4,4,2,1,3,3,2,3,2,2,4,1,1
325,41,1,18,7,8,1,4,3,3,4,5,1,1,1,3,2,3,2,2,4,1,2
326,28,1,21,5,8,2,1,1,2,2,3,1,2,2,2,1,4,2,1,4,2,1
327,31,1,24,15,8,2,2,2,3,2,3,1,2,2,2,2,3,2,2,3,1,1
328,28,2,21,15,8,2,3,1,1,1,2,4,1,2,3,1,4,2,1,4,2,2
329,30,1,24,12,10,3,1,4,2,3,2,1,1,1,3,2,2,1,1,4,1,1
330,47,2,24,10,9,1,4,1,5,4,3,3,1,1,2,2,3,2,1,4,1,1
331,30,2,21,11,10,3,3,1,2,2,3,2,1,1,2,1,3,2,1,3,1,1
332,30,1,26,3,10,3,1,4,2,1,2,2,1,1,3,1,2,2,2,2,1,1
333,41,2,20,10,11,1,1,4,2,2,2,2,2,2,3,2,1,2,1,2,1,2
334,30,1,22,15,10,3,4,3,2,2,1,2,1,1,2,2,3,2,1,3,2,2
335,28,2,25,4,10,3,3,4,2,2,1,2,1,1,2,1,2,2,1,4,1,1
336,40,2,19,3,11,2,1,4,2,1,2,4,1,1,4,1,4,2,1,1,1,2
337,31,2,23,5,10,3,1,1,1,2,2,2,2,1,3,2,2,2,1,4,1,1
338,47,2,23,13,9,3,3,3,2,4,4,2,1,2,3,2,4,2,1,2,1,1
339,47,1,22,7,9,3,1,2,3,4,3,2,2,2,3,2,2,2,1,4,1,1
340,28,1,24,7,7,3,1,4,3,2,4,1,1,2,3,2,2,2,1,4,1,1
341,40,1,22,1,11,2,3,1,1,2,3,1,2,2,3,2,4,2,1,3,4,1
342,31,1,25,10,8,1,3,1,2,2,3,2,2,2,3,1,3,2,1,2,1,1
343,40,2,20,5,11,2,1,4,1,1,2,4,2,1,3,2,4,2,2,1,2,1
344,47,2,23,1,9,1,1,1,4,4,2,2,1,2,3,2,4,2,1,4,1,1
345,41,2,20,5,11,1,2,4,4,4,2,1,2,2,3,2,2,2,1,4,1,2
346,36,2,20,10,10,3,4,4,3,4,3,2,1,1,4,2,4,2,1,1,4,2
347,41,2,19,13,10,1,1,2,4,4,3,2,2,2,3,2,2,1,1,4,1,1
348,41,2,18,1,8,2,3,1,1,1,3,3,1,4,3,2,1,2,1,4,1,1
349,30,1,24,10,8,1,4,1,4,4,3,3,2,2,4,2,4,2,1,1,2,1
350,36,1,24,10,7,2,3,1,1,4,3,1,1,2,2,2,3,2,1,4,2,2
351,30,2,21,16,8,1,1,1,3,2,4,1,1,4,2,2,3,1,1,4,1,1
352,31,2,20,7,8,2,1,2,3,2,5,3,2,3,1,1,1,1,2,4,2,1
353,47,1,20,7,10,2,1,2,3,4,4,3,2,2,2,2,4,2,1,4,1,1
354,40,2,19,3,10,2,1,4,2,2,1,3,1,1,4,1,3,2,1,1,1,2
355,18,2,27,15,1,2,3,1,2,3,2,4,1,3,2,2,1,2,2,1,4,1
356,47,1,20,15,10,2,4,4,5,4,2,1,1,1,3,1,4,2,1,1,1,2
357,40,1,23,8,10,2,1,1,1,1,3,2,2,2,3,2,3,2,1,2,2,2
358,40,2,21,7,10,2,3,1,1,2,4,3,3,3,2,1,3,1,1,4,4,1
359,47,1,28,3,10,2,4,4,5,4,1,3,1,1,4,1,4,2,2,1,1,2
360,18,1,28,7,1,2,1,1,4,4,4,1,1,4,3,1,4,1,3,2,3,2
361,28,1,24,11,10,3,3,1,2,1,3,3,1,1,2,1,3,1,1,4,2,2
362,31,2,24,4,10,2,4,1,3,4,3,2,2,1,2,1,4,2,2,4,1,1
363,40,1,22,11,10,2,4,2,2,4,2,1,1,1,4,2,4,2,1,1,1,2
364,47,1,18,10,10,1,1,1,4,4,3,3,1,2,2,2,2,2,1,3,1,1
365,28,2,23,8,10,3,1,1,3,2,3,2,2,2,3,2,2,1,2,3,1,1
366,28,2,21,7,10,3,1,3,2,1,4,2,1,3,1,2,2,1,1,4,4,1
367,31,2,23,4,10,3,4,4,3,4,2,3,1,2,2,1,4,2,1,4,1,1
368,18,2,24,15,1,2,2,2,2,2,4,3,4,3,2,1,2,1,1,3,1,1
369,28,2,23,2,10,3,1,4,1,1,3,4,1,1,3,1,2,2,1,4,1,1
370,47,2,21,17,10,3,3,2,1,4,3,3,1,1,2,2,3,2,1,4,1,1
371,28,1,23,8,10,3,1,1,4,4,3,2,1,2,2,1,3,1,1,4,1,1
372,28,1,23,17,10,3,1,1,4,4,4,2,1,3,3,2,2,2,1,3,1,1
373,28,1,23,7,10,3,1,1,2,1,3,2,3,2,2,1,3,2,1,4,2,1
374,40,2,20,10,10,2,1,1,2,2,3,3,2,2,3,1,3,2,1,4,2,2
375,31,1,19,17,10,3,1,4,4,2,3,3,2,3,3,2,3,1,1,3,2,1
376,31,1,25,7,10,3,1,1,1,1,4,3,1,2,2,2,1,2,2,4,2,1
377,47,1,27,16,10,3,1,1,1,1,4,2,1,2,2,2,3,2,1,4,1,1
378,6,1,22,10,11,3,1,1,4,2,3,3,2,2,3,1,4,1,1,4,1,1
379,7,1,23,10,2,2,1,4,2,4,4,4,1,1,4,2,3,2,2,1,1,2
380,41,1,19,10,11,1,1,1,5,4,3,1,3,2,2,1,2,2,1,4,1,1
381,18,1,24,7,1,2,1,1,1,2,3,3,2,1,4,1,4,2,1,4,2,1
382,31,2,22,11,10,3,3,1,4,2,3,2,1,3,3,2,2,2,1,4,1,1
383,31,1,21,7,10,3,1,4,2,2,4,3,2,2,3,1,2,2,1,4,1,1
